Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_600_snapshot_01}528754733.5084386}18312.02245633198}5664978.0}600.0}0.7118209275392675}0.6251712293216659}1}1}[0.729695657493562, 0.6874133273159552]}1}[0.729695657493562, 0.6874133273159552, 1.0]}2}[0.6397977228404859, 0.6171640110446334]}1}[0.6397977228404859, 0.6171640110446334, 1.0]}1}[0.6397977228404859, 0.6171640110446334]}2}[0.6397977228404859, 0.6171640110446334, 1.0]}1}[0.6397977228404859, 0.6171640110446334]}0}[0.6397977228404859, 0.6171640110446334, 1.0]
experiment_600_snapshot_02}393441301.1505866}18360.190027695564}5407479.0}600.0}0.9541226663449348}0.880190526804816}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}0}[0.9343937052500632, 0.8888264776920884]}2}[0.9343937052500632, 0.8888264776920884, 1.0]}2}[0.9466557519289089, 0.9124281241174484]}1}[0.9466557519289089, 0.9124281241174484, 1.0]}4}[0.9237686924856549, 0.8585728428346853]}1}[0.9237686924856549, 0.8585728428346853, 1.0]
experiment_600_snapshot_03}587348499.1180956}19741.973935896538}5618160.0}600.0}0.594394654572782}0.5674943115496827}1}1}[0.729695657493562, 0.6874133273159552]}1}[0.729695657493562, 0.6874133273159552, 1.0]}2}[0.6397977228404859, 0.6171640110446334]}1}[0.6397977228404859, 0.6171640110446334, 1.0]}1}[0.6397977228404859, 0.6171640110446334]}2}[0.6397977228404859, 0.6171640110446334, 1.0]}1}[0.6397977228404859, 0.6171640110446334]}0}[0.6397977228404859, 0.6171640110446334, 1.0]
experiment_600_snapshot_04}465413721.69145375}18034.883168012893}5407479.0}600.0}0.8211241324826062}0.7440762701794362}1}1}[0.729695657493562, 0.6874133273159552]}1}[0.729695657493562, 0.6874133273159552, 1.0]}1}[0.8260795007962082, 0.766605386337975]}0}[0.8260795007962082, 0.766605386337975, 1.0]}3}[0.7996879983063788, 0.7446869375440921]}0}[0.7996879983063788, 0.7446869375440921, 1.0]}2}[0.7950759736048901, 0.7385037391496438]}2}[0.7996879983063788, 0.7446869375440921, 1.0]
experiment_600_snapshot_05}415207963.5272274}18420.38688756137}5360661.0}600.0}0.9011496338660993}0.841332103030675}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}0}[0.9343937052500632, 0.8888264776920884]}2}[0.9343937052500632, 0.8888264776920884, 1.0]}0}[0.8880541881322699, 0.8206096812609238]}3}[0.8880541881322699, 0.8206096812609238, 1.0]}4}[0.9237686924856549, 0.8585728428346853]}1}[0.9237686924856549, 0.8585728428346853, 1.0]
experiment_600_snapshot_06}410086539.43600667}18357.833419931238}5430888.0}600.0}0.9155127428866286}0.8408240366445283}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}0}[0.9343937052500632, 0.8888264776920884]}2}[0.9343937052500632, 0.8888264776920884, 1.0]}0}[0.8880541881322699, 0.8206096812609238]}3}[0.8880541881322699, 0.8206096812609238, 1.0]}4}[0.9237686924856549, 0.8585728428346853]}1}[0.9237686924856549, 0.8585728428346853, 1.0]
experiment_600_snapshot_07}385542662.6283289}18708.048525220598}5009526.0}600.0}0.9555653704029918}0.9695772169504387}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}0}[0.9343937052500632, 0.8888264776920884]}2}[0.9343937052500632, 0.8888264776920884, 1.0]}2}[0.9466557519289089, 0.9124281241174484]}1}[0.9466557519289089, 0.9124281241174484, 1.0]}0}[0.9516593509922266, 0.9379886343353687]}3}[0.9516593509922266, 0.9379886343353687, 1.0]
experiment_600_snapshot_08}482377302.7481731}18960.936958478505}4986117.0}600.0}0.753554510260774}0.7785780386228925}1}1}[0.729695657493562, 0.6874133273159552]}1}[0.729695657493562, 0.6874133273159552, 1.0]}1}[0.8260795007962082, 0.766605386337975]}0}[0.8260795007962082, 0.766605386337975, 1.0]}3}[0.7996879983063788, 0.7446869375440921]}0}[0.7996879983063788, 0.7446869375440921, 1.0]}2}[0.7950759736048901, 0.7385037391496438]}2}[0.7996879983063788, 0.7446869375440921, 1.0]
experiment_600_snapshot_09}476255515.06736416}18192.50016804943}5594751.0}600.0}0.7954793810992803}0.7027982943455848}1}1}[0.729695657493562, 0.6874133273159552]}1}[0.729695657493562, 0.6874133273159552, 1.0]}1}[0.8260795007962082, 0.766605386337975]}0}[0.8260795007962082, 0.766605386337975, 1.0]}3}[0.7996879983063788, 0.7446869375440921]}0}[0.7996879983063788, 0.7446869375440921, 1.0]}2}[0.7950759736048901, 0.7385037391496438]}2}[0.7996879983063788, 0.7446869375440921, 1.0]
experiment_600_snapshot_10}416751558.77912706}19060.71718489129}5641569.0}600.0}0.8676505815984019}0.7964790229205745}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}1}[0.8260795007962082, 0.766605386337975]}0}[0.8260795007962082, 0.766605386337975, 1.0]}0}[0.8880541881322699, 0.8206096812609238]}3}[0.8880541881322699, 0.8206096812609238, 1.0]}3}[0.860183380706658, 0.7975171982451393]}4}[0.8689656923421809, 0.8022228656280347, 1.0]
experiment_600_snapshot_11}394084941.13782614}19153.905607195884}5407479.0}600.0}0.9130911847432042}0.8787529539358672}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}0}[0.9343937052500632, 0.8888264776920884]}2}[0.9343937052500632, 0.8888264776920884, 1.0]}2}[0.9466557519289089, 0.9124281241174484]}1}[0.9466557519289089, 0.9124281241174484, 1.0]}4}[0.9237686924856549, 0.8585728428346853]}1}[0.9237686924856549, 0.8585728428346853, 1.0]
experiment_600_snapshot_12}459370093.0582533}18252.320304678622}5220207.0}600.0}0.8220164976610881}0.7809100952336093}1}0}[0.9104548908812228, 0.859371871418879]}0}[0.9104548908812228, 0.859371871418879, 1.0]}1}[0.8260795007962082, 0.766605386337975]}0}[0.8260795007962082, 0.766605386337975, 1.0]}3}[0.7996879983063788, 0.7446869375440921]}0}[0.7996879983063788, 0.7446869375440921, 1.0]}3}[0.860183380706658, 0.7975171982451393]}2}[0.7996879983063788, 0.7446869375440921, 1.0]
experiment_600_snapshot_13}622703869.108253}19080.762243561443}5290434.0}600.0}0.580074866087336}0.5684321252131855}1}1}[0.729695657493562, 0.6874133273159552]}1}[0.729695657493562, 0.6874133273159552, 1.0]}2}[0.6397977228404859, 0.6171640110446334]}1}[0.6397977228404859, 0.6171640110446334, 1.0]}1}[0.6397977228404859, 0.6171640110446334]}2}[0.6397977228404859, 0.6171640110446334, 1.0]}1}[0.6397977228404859, 0.6171640110446334]}0}[0.6397977228404859, 0.6171640110446334, 1.0]
