,Unnamed: 0,navigation.draught,navigation.time,navigation.speed,navigation.heading,navigation.location.long,navigation.location.lat,navigation.course,navigation.destination.name,navigation.destination.eta,navigation.status,device.dimensions.to_port,device.dimensions.to_bow,device.dimensions.to_stern,device.dimensions.to_starboard,device.mmsi,vessel.callsign,vessel.subtype,vessel.type,vessel.imo,vessel.name,geohash
0,14909,2.5,2021-01-07T11:36:41+00:00,1.3,,4.2398,51.88057,5.9,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,under-way-using-engine,6,111,0,6,244630718,,,cargo,0,JORDY-M,u15p0kx
1,46111,1.5,2021-01-19T22:46:54+00:00,8.0,,4.57823,51.90225,114.7,DUISBURG,2021-01-20T18:59:00+00:00,under-way-using-engine,7,120,15,4,211560210,DB4165,,cargo,0,AARBURG,u15r20t
2,74595,15.5,2021-01-30T13:24:22+00:00,0.0,216.0,4.00387,51.95578,216.0,EGSUC>NLROT,2021-01-29T12:30:00+00:00,moored,30,146,253,30,219019094,OWJJ2,hazardous-cat-a,cargo,9619969,MARIBO MAERSK,u14ze47
3,54947,2.5,2021-01-22T00:45:59+00:00,0.0,,4.0119,51.95628,0.0,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,moored,6,111,0,6,244630718,,,cargo,0,JORDY-M,u14ze63
4,35290,2.5,2021-01-15T08:11:52+00:00,3.3,,4.00765,51.95865,114.1,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,under-way-using-engine,6,111,0,6,244630718,,,cargo,0,JORDY-M,u14ze4y
5,9116,1.6,2021-01-05T13:54:05+00:00,0.0,,4.408,51.89091,0.0,DEN BOSCH/ROTTERDAM,2021-10-26T20:00:00+00:00,moored,10,76,16,2,244630036,PH5514,,other,0,CAAN,u15phq3
6,24654,2.5,2021-01-11T00:19:35+00:00,0.0,,4.3963,51.8796,0.0,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,moored,6,111,0,6,244630718,,,cargo,0,JORDY-M,u15phh3
7,29102,2.2,2021-01-13T07:06:54+00:00,0.0,,4.32421,51.88133,180.3,ROTTERDAM,2021-01-11T03:59:00+00:00,under-way-using-engine,7,120,15,4,211560210,DB4165,,cargo,0,AARBURG,u15p4ks
8,36668,0.0,2021-01-15T03:01:52+00:00,0.0,,4.58884,51.894,0.0,ROTTERDAM,2021-11-07T18:30:00+00:00,under-way-using-engine,4,70,5,4,244750043,PE9379,,cargo,0,TRUDIE,u15r0rj
9,29861,0.0,2021-01-13T23:56:53+00:00,0.0,,4.41075,51.87871,288.1,OCT --  EUROPOORT VV,2021-10-10T00:00:00+00:00,under-way-using-engine,4,74,12,7,244010773,PF3820,,cargo,0,LEVANTE,u15phk5
10,52349,1.6,2021-01-21T12:36:58+00:00,9.7,,4.23256,51.88327,340.0,DEN BOSCH/ROTTERDAM,2021-10-26T20:00:00+00:00,under-way-using-engine,10,76,16,2,244630036,PH5514,,other,0,CAAN,u15p0m4
11,2999,2.5,2021-01-02T04:16:59+00:00,0.0,,4.00837,51.95808,0.0,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,under-way-using-engine,6,111,0,6,244630718,,,cargo,0,JORDY-M,u14ze4w
12,73812,1.5,2021-01-29T04:06:48+00:00,1.8,,4.3182,51.88929,19.7,ARA VERKEER,2021-01-18T23:14:00+00:00,fishing,11,135,0,1,244700820,PB8188,all,tanker,0,CHARLOIS,u15p4q0
13,51863,4.2,2021-01-21T17:26:25+00:00,0.1,258.0,4.0729,51.95085,222.3,ROTTERDAM NL,2021-01-18T11:30:00+00:00,under-way-using-engine,9,88,10,8,246046000,PHIA,hazardous-cat-c,cargo,9143415,ORION,u14zs9m
14,11656,0.0,2021-01-06T04:11:53+00:00,0.0,,4.04398,51.95793,257.9,OCT --  EUROPOORT VV,2021-10-10T00:00:00+00:00,under-way-using-engine,4,74,12,7,244010773,PF3820,,cargo,0,LEVANTE,u14zs48
15,72309,0.0,2021-01-29T11:41:57+00:00,0.0,,4.03378,51.93897,339.6,OCT --  EUROPOORT VV,2021-10-10T00:00:00+00:00,under-way-using-engine,4,74,12,7,244010773,PF3820,,cargo,0,LEVANTE,u14z7z1
16,9084,1.6,2021-01-05T11:12:05+00:00,0.0,,4.408,51.89091,0.0,DEN BOSCH/ROTTERDAM,2021-10-26T20:00:00+00:00,moored,10,76,16,2,244630036,PH5514,,other,0,CAAN,u15phq3
17,30367,2.5,2021-01-13T18:44:51+00:00,0.0,,4.00845,51.95797,0.0,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,moored,6,111,0,6,244630718,,,cargo,0,JORDY-M,u14ze4w
18,17030,1.6,2021-01-08T11:56:56+00:00,9.5,,4.59597,51.89364,115.7,DEN BOSCH/ROTTERDAM,2021-10-26T20:00:00+00:00,under-way-using-engine,10,76,16,2,244630036,PH5514,,other,0,CAAN,u15r0wf
19,62465,2.5,2021-01-25T08:01:58+00:00,8.7,,4.41109,51.8988,67.7,RDAM MAASVLAKTE RDAM,2021-06-18T20:00:00+00:00,under-way-using-engine,6,111,0,6,244630718,,,cargo,0,JORDY-M,u15phru
20,6380,2.5,2021-01-04T12:16:25+00:00,0.0,,4.03493,51.93788,263.2,MAASVLAKTE,2021-01-04T10:59:00+00:00,moored,7,120,15,4,211560210,DB4165,,cargo,0,AARBURG,u14z7z4
21,26799,2.2,2021-01-12T13:46:48+00:00,0.0,,4.01209,51.95809,75.5,ROTTERDAM,2021-01-11T03:59:00+00:00,under-way-using-engine,7,120,15,4,211560210,DB4165,,cargo,0,AARBURG,u14ze69
22,70811,2.0,2021-01-28T19:17:01+00:00,0.7,,4.41468,51.88587,329.4,RDAM-BERGEN OP ZOOM,,under-way-using-engine,2,86,0,8,244670295,PF8141,,other,0,ROMEE,u15phmw
