Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}3D_Cluster_K5}3D_Cluster_K5_Centroid
base_snapshot_22}369460322.414121}18934.39909114163}3347487.0}336.0}0.6347547508997821}0.36371202888575166}0.5618729096989966}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}3}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_23}517831988.74216366}18275.48132274451}3534759.0}342.0}0.4692103600973009}0.2457512210646407}0.5719063545150501}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}2}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}2}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_24}720390989.3171868}19410.723968405462}4190211.0}394.0}0.317552317083847}0.14901850561192456}0.6588628762541806}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}2}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_25}342115648.2064215}18958.558903029396}2247264.0}155.0}0.6846159774950411}0.5850828049435135}0.2591973244147157}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}0}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}0}1}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}1}3}[0.6456892563393791, 0.6648561778700712, 0.22575250836120403]
base_snapshot_26}400447181.06997126}19116.57306478712}3604986.0}306.0}0.5800561154541898}0.31159863407251864}0.5117056856187291}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_27}369851089.46208656}18406.270629300692}2996352.0}244.0}0.6522777826375441}0.40590521855458883}0.4080267558528428}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_28}406377270.80209965}18276.18648829087}5758614.0}598.0}0.5978748728463743}0.19221929960230463}1.0}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_29}356651163.39823914}19204.294967243008}1919538.0}132.0}0.6483108334325733}0.6570584569829668}0.22073578595317725}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}0}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}0}1}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}1}3}[0.6456892563393791, 0.6648561778700712, 0.22575250836120403]
base_snapshot_30}399041734.36878604}19114.210213463837}4283847.0}471.0}0.5821710623044852}0.26314316731223664}0.7876254180602007}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_31}391632025.77528954}18692.80066749419}5477706.0}577.0}0.6065585344930762}0.20968504173331012}0.9648829431438127}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_32}447822269.2554109}18657.023378328347}4986117.0}536.0}0.5314681580498153}0.20145414941147077}0.8963210702341137}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}0}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_33}249557589.27918717}17793.218423056263}1802493.0}128.0}1.0}1.0}0.2140468227424749}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}2}0}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}3}1}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}4}4}[1.0, 1.0, 0.21404682274247488]
base_snapshot_34}359443758.5523262}18650.51432406563}2574990.0}228.0}0.6623743892321355}0.4860017967734454}0.38127090301003347}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}0}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_35}385330312.3114879}19126.704149048302}2551581.0}181.0}0.6024929604774217}0.4575113098559219}0.30267558528428096}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}0}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_36}435533527.0654035}18304.319067897795}3628395.0}332.0}0.5569934933910256}0.284648052225451}0.5551839464882943}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_37}372164238.8442321}17974.665667186597}3043170.0}279.0}0.6637886634401188}0.39717647311539145}0.4665551839464883}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_38}381710039.0065694}18266.55203456205}3347487.0}329.0}0.6368470351673232}0.3520398986826522}0.5501672240802675}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}3}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_39}385606054.94941634}19186.706400035266}4424301.0}439.0}0.6001793060646853}0.2636670486422043}0.7341137123745819}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_40}465414517.4237642}18606.18806731678}5618160.0}593.0}0.5127763178668009}0.17203243609646876}0.9916387959866221}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}2}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_41}387768256.2185201}18252.748682578465}3722031.0}355.0}0.6273714683450176}0.31166793886509886}0.5936454849498328}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_42}366445109.3414}18556.129283357444}2528172.0}212.0}0.6530237434793389}0.485544256825157}0.35451505016722407}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}0}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_43}374971661.0766403}20282.064946502913}1825902.0}121.0}0.5838680032894704}0.6570046714970923}0.20234113712374582}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}0}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}0}1}[0.7047410469494826, 0.7207134815583927, 0.22380156075808255]}1}3}[0.6456892563393791, 0.6648561778700712, 0.22575250836120403]
base_snapshot_44}685143735.0013525}19087.101010250022}3253851.0}321.0}0.33954991730904754}0.20177391272556258}0.5367892976588629}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}2}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}2}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_45}508527512.9406911}18397.98579598853}4822254.0}522.0}0.47461401439043216}0.18343399807069363}0.8729096989966555}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}2}2}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]}2}0}[0.5381137312311918, 0.2063941184168631, 0.9055183946488294]
base_snapshot_46}345178027.0204418}18016.609479636354}3043170.0}233.0}0.7140178756474324}0.428227952629999}0.3896321070234114}1}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}1}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}0}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}3}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_47}405902772.3970598}18520.627159008167}4096575.0}433.0}0.5906736332912502}0.27052128428290023}0.7240802675585284}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_48}512728716.9134774}17870.082694835502}2692035.0}204.0}0.4846308845622706}0.32589374459703996}0.3411371237458194}0}0}[0.6368190659740641, 0.47202034740464327, 0.3727703455964325]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}3}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]}0}1}[0.6152713378065622, 0.4116486321410876, 0.3775405196809879]
base_snapshot_49}438101952.4289335}18347.167602360543}4026348.0}398.0}0.5524348587046615}0.25501038758109884}0.6655518394648829}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}1}[0.5385479850877722, 0.21616891584260317, 0.851522619257173]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
base_snapshot_50}404418431.1324767}19493.073789066184}3722031.0}350.0}0.5632666327073086}0.2988363632055901}0.5852842809364549}0}1}[0.542398785499731, 0.23250615938048994, 0.7808721378955492]}0}2}[0.597006720320239, 0.3576863276497745, 0.46909698996655513]}1}0}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]}0}2}[0.5662035350559798, 0.28284810097550594, 0.6071217784772772]
