Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_500_snapshot_25}386016672.0110273}17254.08284106569}4915890.0}500.0}1.0}0.8946450565783269}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_26}425586595.89028406}18822.1529960027}4705209.0}500.0}0.8314587358743998}0.8477974870254993}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_27}406335985.3726303}18635.652913733105}4705209.0}500.0}0.879565208686967}0.8879628177077097}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_28}406527315.7944922}18620.13190631955}4611573.0}500.0}0.8798840707078239}0.9055661179087315}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_29}406660677.7345991}18545.242229388867}4822254.0}500.0}0.8831475138724078}0.8657185492874244}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_30}457666711.28230524}18784.178523720482}4939299.0}500.0}0.7747407668002306}0.7510076196459926}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}3}[0.7817007627739041, 0.7880381580596827]}4}[0.7817007627739041, 0.7880381580596827, 1.0]
experiment_500_snapshot_31}436833051.946687}18919.82646105699}4564755.0}500.0}0.8058705807989596}0.8513850528435588}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_32}513694228.6683271}18185.992733823146}4845663.0}500.0}0.7129453509379122}0.6820262521063113}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}1}[0.6590191894323875, 0.656514763705504, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_33}392523207.3000436}18352.36709951814}4705209.0}500.0}0.9245715262949804}0.9192099722952596}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_34}509717544.73079324}18312.88188132106}4915890.0}500.0}0.7135290583529605}0.6775279974988463}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}1}[0.6590191894323875, 0.656514763705504, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_35}409440772.39083433}18762.25067849621}4822254.0}500.0}0.8670056328588266}0.8598403376510407}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_36}388788977.3098043}18572.88750109047}4822254.0}500.0}0.9223687260954777}0.90551356269575}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_37}479579236.24324286}18546.469367358808}4869072.0}500.0}0.7488180817543012}0.7270301422101876}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_38}496222777.03304785}19338.30322867374}4798845.0}500.0}0.6940693723259816}0.7129278288648763}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}1}[0.6590191894323875, 0.656514763705504, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_39}390470214.16288626}18688.033101567537}4752027.0}500.0}0.9127386386056464}0.9149390733104756}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_40}427531364.32308775}19143.83472731118}4658391.0}500.0}0.8137687796791876}0.8524228176055051}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}2}[0.818333120363572, 0.8264403293884028]}2}[0.818333120363572, 0.8264403293884028, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
experiment_500_snapshot_41}575172812.2025023}18304.7279189984}4798845.0}500.0}0.6326103804049215}0.6150691054202985}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}1}[0.630321946768449, 0.6359272062347996]}1}[0.6590191894323875, 0.656514763705504, 1.0]}4}[0.596151706439704, 0.6114582164527131]}3}[0.596151706439704, 0.6114582164527131, 1.0]
experiment_500_snapshot_42}382374276.00338405}18511.594562376646}4892481.0}500.0}0.9409476100205937}0.9074885824702625}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_43}392705078.67283916}18891.586042124523}4705209.0}500.0}0.897765687300658}0.9187842635671889}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_44}381695994.87982047}18704.314146026652}4588164.0}500.0}0.9329074260061186}0.9693987361784514}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_45}488093798.4522543}18798.470837980043}4611573.0}500.0}0.7258921976500525}0.7542348711564029}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}2}[0.7418659008734569, 0.7432842353054433]}2}[0.7535385587627366, 0.7607698605772539, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_46}377045724.4817625}18118.66239865497}4822254.0}500.0}0.9749397723492653}0.9337161758418682}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_47}394201440.44886553}17956.734580626373}4752027.0}500.0}0.9409192869647878}0.9062789204796834}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}3}[0.9422373854844754, 0.9350382733971835]}0}[0.9422373854844754, 0.9350382733971835, 1.0]}0}[0.9422373854844754, 0.9350382733971835]}1}[0.9422373854844754, 0.9350382733971835, 1.0]
experiment_500_snapshot_48}511718480.2893568}18852.015948024185}4939299.0}500.0}0.6904131285901405}0.6716802317496497}1}1}[0.7090588555484546, 0.7117086385199599]}1}[0.7090588555484546, 0.7117086385199599, 1.0]}0}[0.680295531837234, 0.684057197019911]}1}[0.680295531837234, 0.684057197019911, 1.0]}1}[0.630321946768449, 0.6359272062347996]}1}[0.6590191894323875, 0.656514763705504, 1.0]}1}[0.7083434736364107, 0.7082568572089769]}0}[0.7083434736364107, 0.7082568572089769, 1.0]
experiment_500_snapshot_49}389122647.5791829}19177.840120563353}4892481.0}500.0}0.8925072222166734}0.8917504336027948}1}0}[0.8973695053112642, 0.8970905605964563]}0}[0.8973695053112642, 0.8970905605964563, 1.0]}1}[0.922984827482394, 0.9172932195416261]}0}[0.922984827482394, 0.9172932195416261, 1.0]}0}[0.8599796051669217, 0.8654674665958504]}3}[0.8599796051669217, 0.8654674665958504, 1.0]}2}[0.8635224987434168, 0.8670909377039763]}2}[0.8635224987434168, 0.8670909377039763, 1.0]
