Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_400_snapshot_01}355491353.390813}18012.731091387785}4096575.0}400.0}0.9941276259381056}0.9345242483813464}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}2}[0.938616331597051, 0.9341772681872217]}2}[0.938616331597051, 0.9341772681872217, 1.0]}2}[0.938616331597051, 0.9341772681872217]}3}[0.9484292093455919, 0.9441240378520929, 1.0]}3}[0.9484292093455919, 0.9441240378520929]}4}[0.9484292093455919, 0.9441240378520929, 1.0]
experiment_400_snapshot_02}375819877.7836748}18403.709005848657}3909303.0}400.0}0.9203767629587986}0.9263208662321287}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}2}[0.938616331597051, 0.9341772681872217]}2}[0.938616331597051, 0.9341772681872217, 1.0]}2}[0.938616331597051, 0.9341772681872217]}3}[0.9484292093455919, 0.9441240378520929, 1.0]}3}[0.9484292093455919, 0.9441240378520929]}4}[0.9484292093455919, 0.9441240378520929, 1.0]
experiment_400_snapshot_03}401462183.84535277}17155.573341844578}4588164.0}400.0}0.9242742853863419}0.7388511457123004}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}0}[0.8594997863559355, 0.8150276287382253]}0}[0.8594997863559355, 0.8150276287382253, 1.0]}0}[0.8638204796995231, 0.8185197052307874]}0}[0.8660089012730298, 0.823583783763967, 1.0]}0}[0.9070266300050575, 0.8337291626940684]}0}[0.9070266300050575, 0.8337291626940684, 1.0]
experiment_400_snapshot_04}394983418.31675345}19206.89507262698}4049757.0}400.0}0.8391019342539542}0.8508102199696596}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}0}[0.8594997863559355, 0.8150276287382253]}0}[0.8594997863559355, 0.8150276287382253, 1.0]}0}[0.8638204796995231, 0.8185197052307874]}0}[0.8660089012730298, 0.823583783763967, 1.0]}4}[0.8249911725410022, 0.8134384048338656]}3}[0.8249911725410022, 0.8134384048338656, 1.0]
experiment_400_snapshot_05}482651715.0773097}18878.138185145086}3885894.0}400.0}0.6986468986851434}0.7256308249477487}1}0}[0.6382830064810041, 0.6166284936176077]}0}[0.6382830064810041, 0.6166284936176077, 1.0]}1}[0.6292097770691997, 0.6076613980914409]}1}[0.6292097770691997, 0.6076613980914409, 1.0]}3}[0.685522097482546, 0.6727173295395288]}2}[0.685522097482546, 0.6727173295395288, 1.0]}1}[0.685522097482546, 0.6727173295395288]}2}[0.685522097482546, 0.6727173295395288, 1.0]
experiment_400_snapshot_06}404147274.19787335}18810.471026398674}4096575.0}400.0}0.8373584848700266}0.8220154162686797}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}0}[0.8594997863559355, 0.8150276287382253]}0}[0.8594997863559355, 0.8150276287382253, 1.0]}0}[0.8638204796995231, 0.8185197052307874]}0}[0.8660089012730298, 0.823583783763967, 1.0]}4}[0.8249911725410022, 0.8134384048338656]}3}[0.8249911725410022, 0.8134384048338656, 1.0]
experiment_400_snapshot_07}382049592.89500064}17837.102587004592}4330665.0}400.0}0.9341286639735034}0.8225573654406054}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}0}[0.8594997863559355, 0.8150276287382253]}0}[0.8594997863559355, 0.8150276287382253, 1.0]}0}[0.8638204796995231, 0.8185197052307874]}0}[0.8660089012730298, 0.823583783763967, 1.0]}0}[0.9070266300050575, 0.8337291626940684]}0}[0.9070266300050575, 0.8337291626940684, 1.0]
experiment_400_snapshot_08}381549493.1383945}18740.16407063015}4260438.0}400.0}0.8902797194392222}0.8372119067926657}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}0}[0.8594997863559355, 0.8150276287382253]}0}[0.8594997863559355, 0.8150276287382253, 1.0]}0}[0.8638204796995231, 0.8185197052307874]}0}[0.8660089012730298, 0.823583783763967, 1.0]}0}[0.9070266300050575, 0.8337291626940684]}0}[0.9070266300050575, 0.8337291626940684, 1.0]
experiment_400_snapshot_09}397233152.55456674}19383.733306891343}4073166.0}400.0}0.826737880622426}0.841129626164889}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}0}[0.8594997863559355, 0.8150276287382253]}0}[0.8594997863559355, 0.8150276287382253, 1.0]}0}[0.8638204796995231, 0.8185197052307874]}0}[0.8660089012730298, 0.823583783763967, 1.0]}4}[0.8249911725410022, 0.8134384048338656]}3}[0.8249911725410022, 0.8134384048338656, 1.0]
experiment_400_snapshot_10}375155114.3116912}18308.584147591955}3979530.0}400.0}0.9267980647487658}0.9115864737639334}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}2}[0.938616331597051, 0.9341772681872217]}2}[0.938616331597051, 0.9341772681872217, 1.0]}2}[0.938616331597051, 0.9341772681872217]}3}[0.9484292093455919, 0.9441240378520929, 1.0]}3}[0.9484292093455919, 0.9441240378520929]}4}[0.9484292093455919, 0.9441240378520929, 1.0]
experiment_400_snapshot_11}374035857.1391903}18858.518158364594}4119984.0}400.0}0.9024641270526692}0.8831444810828321}1}1}[0.8860570843177071, 0.8529043861097274]}1}[0.8860570843177071, 0.8529043861097274, 1.0]}2}[0.938616331597051, 0.9341772681872217]}2}[0.938616331597051, 0.9341772681872217, 1.0]}2}[0.938616331597051, 0.9341772681872217]}0}[0.8660089012730298, 0.823583783763967, 1.0]}0}[0.9070266300050575, 0.8337291626940684]}0}[0.9070266300050575, 0.8337291626940684, 1.0]
