Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_300_snapshot_01}361423405.50688875}18700.70158727493}3043170.0}300.0}0.9469054496685332}1.0}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}0}[0.9404536522846318, 0.8981231626040513]}3}[0.9462951269656437, 0.9397518597875273, 1.0]}0}[0.9462951269656437, 0.9397518597875273]}3}[0.9462951269656437, 0.9397518597875273, 1.0]
experiment_300_snapshot_02}386836985.82496095}18339.38124043862}3277260.0}300.0}0.9021279125242183}0.8675681495526404}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}0}[0.9404536522846318, 0.8981231626040513]}0}[0.9051243628542202, 0.8493570897790543, 1.0]}2}[0.9134887491711361, 0.8518637808943783]}0}[0.9134887491711361, 0.8518637808943783, 1.0]
experiment_300_snapshot_03}382883783.17730474}18688.884646806575}3370896.0}300.0}0.8943972062257657}0.8521776925435637}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}2}[0.871577120236365, 0.8219366740814038]}0}[0.9051243628542202, 0.8493570897790543, 1.0]}2}[0.9134887491711361, 0.8518637808943783]}0}[0.9134887491711361, 0.8518637808943783, 1.0]
experiment_300_snapshot_04}377112764.72370744}18587.268029193834}3207033.0}300.0}0.9130488113580427}0.9094269625842228}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}0}[0.9404536522846318, 0.8981231626040513]}3}[0.9462951269656437, 0.9397518597875273, 1.0]}0}[0.9462951269656437, 0.9397518597875273]}3}[0.9462951269656437, 0.9397518597875273, 1.0]
experiment_300_snapshot_05}408961505.0951779}19121.550788943598}3698622.0}300.0}0.8184181422614576}0.7271434704009127}1}1}[0.7366901627994739, 0.6761483266865831]}1}[0.7366901627994739, 0.6761483266865831, 1.0]}2}[0.8362602745990734, 0.7721105077433982]}1}[0.8396120206637562, 0.7754762365607603, 1.0]}1}[0.7789386935524358, 0.7148309006071417]}1}[0.8042909741966743, 0.7389394832246714, 1.0]}1}[0.7709646447046326, 0.6981588485567906]}2}[0.7709646447046326, 0.6981588485567906, 1.0]
experiment_300_snapshot_06}418101364.03206706}18266.775753919384}3417714.0}300.0}0.8379870516995791}0.7697065562385856}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}2}[0.8362602745990734, 0.7721105077433982]}1}[0.8396120206637562, 0.7754762365607603, 1.0]}2}[0.871577120236365, 0.8219366740814038]}1}[0.8042909741966743, 0.7389394832246714, 1.0]}4}[0.836135138591948, 0.7910184255380021]}4}[0.836135138591948, 0.7910184255380021, 1.0]
experiment_300_snapshot_07}387811936.028196}17314.555560842033}3300669.0}300.0}0.9531215080695479}0.8592496061802396}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}0}[0.9404536522846318, 0.8981231626040513]}0}[0.9051243628542202, 0.8493570897790543, 1.0]}2}[0.9134887491711361, 0.8518637808943783]}0}[0.9134887491711361, 0.8518637808943783, 1.0]
experiment_300_snapshot_08}378849643.9607799}17863.95687244911}3464532.0}300.0}0.9456626682943632}0.8379749325302189}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}0}[0.9404536522846318, 0.8981231626040513]}0}[0.9051243628542202, 0.8493570897790543, 1.0]}2}[0.9134887491711361, 0.8518637808943783]}0}[0.9134887491711361, 0.8518637808943783, 1.0]
experiment_300_snapshot_09}367481138.8690634}18188.281887006946}3441123.0}300.0}0.9575336825656621}0.8697756350383602}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}0}[0.9404536522846318, 0.8981231626040513]}0}[0.9051243628542202, 0.8493570897790543, 1.0]}2}[0.9134887491711361, 0.8518637808943783]}0}[0.9134887491711361, 0.8518637808943783, 1.0]
experiment_300_snapshot_10}412425717.44925475}18678.116941123557}3300669.0}300.0}0.8308104704058443}0.8079691425771096}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}2}[0.8362602745990734, 0.7721105077433982]}1}[0.8396120206637562, 0.7754762365607603, 1.0]}2}[0.871577120236365, 0.8219366740814038]}1}[0.8042909741966743, 0.7389394832246714, 1.0]}4}[0.836135138591948, 0.7910184255380021]}4}[0.836135138591948, 0.7910184255380021, 1.0]
experiment_300_snapshot_11}380451039.52612203}19158.478323354266}3441123.0}300.0}0.8780535494362829}0.8401242412757652}1}0}[0.9068984187226558, 0.861006668195582]}0}[0.9068984187226558, 0.861006668195582, 1.0]}0}[0.9234277560053472, 0.8803231066561321]}0}[0.9246998694686587, 0.8823136813682806, 1.0]}2}[0.871577120236365, 0.8219366740814038]}0}[0.9051243628542202, 0.8493570897790543, 1.0]}2}[0.9134887491711361, 0.8518637808943783]}0}[0.9134887491711361, 0.8518637808943783, 1.0]
