Snapshot}convex_hull_area}average_proximity}geohash_area}vessel_locations}SpComplexity}SpDensity}SpCriticality}2D_Cluster_K2}2D_Cluster_K2_Centroid}3D_Cluster_K2}3D_Cluster_K2_Centroid}2D_Cluster_K3}2D_Cluster_K3_Centroid}3D_Cluster_K3}3D_Cluster_K3_Centroid}2D_Cluster_K4}2D_Cluster_K4_Centroid}3D_Cluster_K4}3D_Cluster_K4_Centroid}2D_Cluster_K5}2D_Cluster_K5_Centroid}3D_Cluster_K5}3D_Cluster_K5_Centroid
experiment_200_snapshot_01}358190643.2723999}17166.74607983615}2692035.0}200.0}0.8723789359236505}0.7075151152610131}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_02}375470080.39115006}18564.511084381156}2574990.0}200.0}0.7695707264289603}0.7056344557243158}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}0}[0.7571268229868425, 0.6832134919105133, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
experiment_200_snapshot_03}369705810.83702826}18249.822944908054}2668626.0}200.0}0.7950463699772138}0.6914912226521699}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}0}[0.7571268229868425, 0.6832134919105133, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
experiment_200_snapshot_04}332950976.66607}17971.435963634347}2528172.0}200.0}0.8964876645302664}0.8104827037278928}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_05}357602770.2158282}18744.587707656716}2504763.0}200.0}0.8002591051888915}0.761663506264426}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_06}341548732.2156042}18175.201784226785}2528172.0}200.0}0.8641228160090467}0.7900805429042387}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_07}347183061.7324971}17586.225231321187}2504763.0}200.0}0.878569720212025}0.784522662059826}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_08}354633354.99511766}18072.537468644226}2551581.0}200.0}0.8369676583359872}0.7539485688304292}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_09}355796906.7224848}19366.009726021322}2457945.0}200.0}0.7785115809094248}0.7801108759702756}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_10}356240077.2128377}17235.549476979322}2621808.0}200.0}0.873654023486824}0.7304441258293675}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}0}[0.8571490073281705, 0.7920151568627061]}2}[0.8571490073281705, 0.7920151568627061, 1.0]}0}[0.8469453649944683, 0.7771590966386136]}1}[0.838275243419929, 0.7488392362698084, 1.0]}0}[0.8461266365242834, 0.7670149191168522]}4}[0.8461266365242834, 0.7670149191168522, 1.0]
experiment_200_snapshot_11}557044405.6346607}19211.171982224307}2692035.0}200.0}0.5012607668208977}0.4549463053516387}1}1}[0.598156642744895, 0.5428903578202278]}1}[0.598156642744895, 0.5428903578202278, 1.0]}1}[0.5696843280376553, 0.5265683220719346]}1}[0.5696843280376553, 0.5265683220719346, 1.0]}2}[0.5696843280376553, 0.5265683220719346]}2}[0.5696843280376553, 0.5265683220719346, 1.0]}2}[0.5445056819051945, 0.4939807386894197]}1}[0.5445056819051945, 0.4939807386894197, 1.0]
experiment_200_snapshot_12}389776388.9384507}18962.427658996137}2481354.0}200.0}0.7257681847760838}0.7053853030312737}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}0}[0.7571268229868425, 0.6832134919105133, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
experiment_200_snapshot_13}374950042.6934972}18578.826856958603}2645217.0}200.0}0.7700442747918315}0.6878534960172086}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}0}[0.7571268229868425, 0.6832134919105133, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
experiment_200_snapshot_14}367644058.0381818}18221.045703806085}2574990.0}200.0}0.8007676915389909}0.7206552643101832}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}1}[0.838275243419929, 0.7488392362698084, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
experiment_200_snapshot_15}385056217.44529265}18167.394956838252}2574990.0}200.0}0.7668149881164448}0.688067388121623}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}0}[0.7571268229868425, 0.6832134919105133, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
experiment_200_snapshot_16}359788381.996946}20063.46662429926}2855898.0}200.0}0.7431120126508346}0.6639583450752019}1}0}[0.8040205038273782, 0.7293174391546674]}0}[0.8040205038273782, 0.7293174391546674, 1.0]}2}[0.7679723226943006, 0.6864936649385457]}0}[0.7679723226943006, 0.6864936649385457, 1.0]}1}[0.7679723226943006, 0.6864936649385457]}0}[0.7571268229868425, 0.6832134919105133, 1.0]}3}[0.7733694441153827, 0.6931456789384912]}0}[0.7733694441153827, 0.6931456789384912, 1.0]
